Timestamp,Texture1,Texture2,Texture3,Texture4,Texture5,Texture6,Texture7,Texture8
2023-09-20 10:36:56.831,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:36:57.035,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:36:57.237,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:36:57.437,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:36:57.638,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:36:57.838,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:36:58.039,0.00,0.53,0.00,0.00,0.47,0.00,0.00,0.00
2023-09-20 10:36:58.245,0.00,0.69,0.00,0.00,0.31,0.00,0.00,0.00
2023-09-20 10:36:58.446,0.00,0.69,0.00,0.00,0.31,0.00,0.00,0.00
2023-09-20 10:36:58.647,0.00,0.69,0.00,0.00,0.31,0.00,0.00,0.00
2023-09-20 10:36:58.850,0.00,0.69,0.00,0.00,0.31,0.00,0.00,0.00
2023-09-20 10:36:59.052,0.00,0.69,0.00,0.00,0.31,0.00,0.00,0.00
2023-09-20 10:36:59.255,0.00,0.69,0.00,0.00,0.31,0.00,0.00,0.00
2023-09-20 10:36:59.455,0.00,0.69,0.00,0.00,0.31,0.00,0.00,0.00
2023-09-20 10:36:59.656,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:36:59.856,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:37:00.061,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:37:00.262,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:37:00.463,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:37:00.665,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:37:00.865,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:37:01.066,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:37:01.267,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:37:01.467,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:37:01.668,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:37:01.869,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:37:02.070,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:37:02.272,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:37:02.472,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:37:02.672,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:37:02.874,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:37:03.075,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:37:03.276,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
